epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.878,2.03755,2.76901,1.68899,0.58528,0.47444,0.49698,0.19476,2.02371,1.87603,1.78679,0.000369656,0.000369656,0.000369656
2,459.265,1.87748,1.65532,1.65338,0.62029,0.62628,0.63877,0.26744,1.94319,1.50984,1.75584,0.000705104,0.000705104,0.000705104
3,675.971,1.82798,1.51726,1.6328,0.7121,0.64967,0.71778,0.30264,1.91676,1.3686,1.75241,0.00100564,0.00100564,0.00100564
4,892.943,1.8,1.43732,1.61433,0.72673,0.69675,0.74865,0.31895,1.8973,1.31514,1.72433,0.000953873,0.000953873,0.000953873
5,1111.82,1.7731,1.35049,1.60559,0.77426,0.67494,0.75735,0.33095,1.83488,1.29936,1.69919,0.000901497,0.000901497,0.000901497
6,1332.37,1.74201,1.28126,1.58065,0.80815,0.7548,0.82086,0.36695,1.85308,1.14919,1.72517,0.000849121,0.000849121,0.000849121
7,1553.12,1.72651,1.22196,1.56567,0.83953,0.76178,0.83333,0.37252,1.8306,1.13945,1.69082,0.000796746,0.000796746,0.000796746
8,1923.31,1.70456,1.18104,1.54949,0.84884,0.75234,0.83029,0.37624,1.8264,1.14009,1.68387,0.00074437,0.00074437,0.00074437
9,2141.81,1.68695,1.13907,1.54331,0.83737,0.80251,0.84805,0.39326,1.79592,1.04684,1.67004,0.000691994,0.000691994,0.000691994
10,2358.99,1.67143,1.09876,1.53573,0.87805,0.78918,0.8547,0.38359,1.8448,1.05715,1.70327,0.000639619,0.000639619,0.000639619
11,2579.63,1.65912,1.06747,1.52287,0.84246,0.80364,0.82919,0.35844,1.90494,1.07099,1.74597,0.000587243,0.000587243,0.000587243
12,2795.41,1.63329,0.94505,1.64879,0.90354,0.8092,0.87842,0.40828,1.79826,0.994,1.66156,0.000534867,0.000534867,0.000534867
13,3012.42,1.61657,0.9141,1.63727,0.87964,0.81303,0.8617,0.39258,1.85409,1.00202,1.70635,0.000482491,0.000482491,0.000482491
14,3230.33,1.59067,0.877,1.62081,0.88983,0.80243,0.86998,0.39592,1.85956,0.99182,1.70951,0.000430116,0.000430116,0.000430116
15,3451.1,1.57022,0.84309,1.60854,0.89954,0.81171,0.88383,0.41055,1.82854,0.958,1.70024,0.00037774,0.00037774,0.00037774
16,3673.06,1.55089,0.80835,1.59438,0.89448,0.83106,0.88991,0.41528,1.83245,0.91076,1.6986,0.000325364,0.000325364,0.000325364
17,3890.43,1.52363,0.77567,1.57042,0.88587,0.83561,0.87875,0.39971,1.86796,0.90801,1.73505,0.000272989,0.000272989,0.000272989
18,4106.06,1.49282,0.7436,1.55275,0.88987,0.82466,0.88195,0.40425,1.88593,0.9044,1.74126,0.000220613,0.000220613,0.000220613
19,4321.71,1.46269,0.7097,1.53159,0.89858,0.83559,0.88789,0.40736,1.87301,0.88541,1.73935,0.000168237,0.000168237,0.000168237
20,4539.34,1.43225,0.68454,1.50895,0.88384,0.83202,0.88421,0.40014,1.90167,0.87713,1.7641,0.000115861,0.000115861,0.000115861
21,4757.58,1.39935,0.66088,1.48727,0.89186,0.81536,0.87426,0.39593,1.90762,0.87577,1.77703,6.34857e-05,6.34857e-05,6.34857e-05
