epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3934,2.23328,2.88275,1.68957,0.44285,0.30203,0.31248,0.12566,2.35247,2.43597,2.02515,0.000552802,0.000552802,0.000552802
2,169.87,2.02553,1.64299,1.60449,0.64597,0.68526,0.68022,0.26477,2.09379,2.09789,1.81308,0.00103531,0.00103531,0.00103531
3,250.265,1.97267,1.52856,1.60137,0.67875,0.73695,0.77673,0.34056,1.91086,1.41948,1.68139,0.00144447,0.00144447,0.00144447
4,329.862,1.95476,1.49562,1.59697,0.80334,0.75412,0.81531,0.34847,1.94796,1.33554,1.74765,0.00133693,0.00133693,0.00133693
5,410.181,1.9311,1.40023,1.58535,0.74225,0.75871,0.7759,0.31591,1.98596,1.98962,1.78484,0.00122691,0.00122691,0.00122691
6,491.135,1.90073,1.29359,1.69866,0.85708,0.83797,0.88519,0.38475,1.90603,1.19911,1.74002,0.00111689,0.00111689,0.00111689
7,570.452,1.88108,1.24654,1.7031,0.84676,0.79045,0.85837,0.3705,1.94731,1.27709,1.757,0.00100687,0.00100687,0.00100687
8,650.51,1.85195,1.18733,1.67741,0.85739,0.80973,0.86293,0.40486,1.86103,1.25595,1.70677,0.000896846,0.000896846,0.000896846
9,729.811,1.83149,1.14308,1.6565,0.88309,0.8526,0.89957,0.42346,1.85966,1.13174,1.68858,0.000786824,0.000786824,0.000786824
10,810.153,1.80326,1.10165,1.63935,0.92465,0.90184,0.93034,0.43059,1.8548,1.07098,1.69089,0.000676802,0.000676802,0.000676802
11,889.409,1.78275,1.06721,1.62434,0.87918,0.90516,0.93125,0.45048,1.8083,1.04225,1.66556,0.00056678,0.00056678,0.00056678
12,968.947,1.77799,1.02691,1.62281,0.89467,0.86598,0.91708,0.43119,1.83627,1.09621,1.67628,0.000456758,0.000456758,0.000456758
13,1049,1.75341,0.99839,1.60254,0.92432,0.91194,0.94402,0.46369,1.78023,0.99906,1.63974,0.000346736,0.000346736,0.000346736
14,1128.38,1.72511,0.96382,1.57899,0.93579,0.91901,0.94967,0.45337,1.82386,0.98174,1.66043,0.000236714,0.000236714,0.000236714
15,1208.43,1.71136,0.94237,1.56854,0.93221,0.92229,0.95704,0.47358,1.78121,0.9472,1.63066,0.000126692,0.000126692,0.000126692
